Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,≤3,≥10,Apr,May,Jun,Year,Wins,Champion,Conference_Champion,Aug,Sep,Oct,Jul,M,Mar,E_Wins,E_Losses,W_Wins,W_Losses,E_Games,W_Games
1,Oklahoma City Thunder,16-7,11-2,5-5,4-3,12-4,,4-3,,8-4,,4-0,2-2,10-3,4-0,8-4,4-3,2025,16.0,1,1,,,,,,,,,,,,
2,Indiana Pacers,15-8,8-3,7-5,12-4,3-4,4-2,8-2,,3-4,,,4-0,5-6,4-1,8-3,3-4,2025,15.0,0,1,,,,,,,,,,,,
3,New York Knicks,10-8,4-5,6-3,10-8,,4-2,6-6,,,,,5-2,3-3,3-2,7-6,,2025,10.0,0,0,,,,,,,,,,,,
4,Minnesota Timberwolves,9-6,5-2,4-4,,9-6,,,,1-4,8-2,,1-1,5-4,4-1,5-5,,2025,9.0,0,0,,,,,,,,,,,,
5,Denver Nuggets,7-7,5-2,2-5,,7-7,,,,3-4,4-3,,3-1,3-3,3-2,4-5,,2025,7.0,0,0,,,,,,,,,,,,
6,Boston Celtics,6-5,4-2,2-3,6-5,,2-4,,4-1,,,,0-3,4-1,4-1,2-4,,2025,6.0,0,0,,,,,,,,,,,,
7,Cleveland Cavaliers,5-4,2-3,3-1,5-4,,,1-4,4-0,,,,0-1,4-1,4-0,1-4,,2025,5.0,0,0,,,,,,,,,,,,
8,Golden State Warriors,5-7,2-3,3-4,,5-7,,,,1-4,,4-3,1-0,4-4,3-2,2-5,,2025,5.0,0,0,,,,,,,,,,,,
9,Houston Rockets,3-4,2-2,1-2,,3-4,,,,,3-4,,0-1,2-3,2-3,1-1,,2025,3.0,0,0,,,,,,,,,,,,
10,Los Angeles Clippers,3-4,2-1,1-3,,3-4,,,,3-4,,,1-2,1-2,2-3,1-1,,2025,3.0,0,0,,,,,,,,,,,,
11,Detroit Pistons,2-4,0-3,2-1,2-4,,2-4,,,,,,1-3,0-1,2-3,0-1,,2025,2.0,0,0,,,,,,,,,,,,
12,Los Angeles Lakers,1-4,1-2,0-2,,1-4,,,,1-4,,,0-1,0-2,1-4,,,2025,1.0,0,0,,,,,,,,,,,,
13,Milwaukee Bucks,1-4,1-1,0-3,1-4,,,1-4,,,,,0-1,1-2,1-4,,,2025,1.0,0,0,,,,,,,,,,,,
14,Orlando Magic,1-4,1-1,0-3,1-4,,1-4,,,,,,1-0,0-2,1-4,,,2025,1.0,0,0,,,,,,,,,,,,
15,Memphis Grizzlies,0-4,0-2,0-2,,0-4,,,,0-4,,,0-1,0-2,0-4,,,2025,0.0,0,0,,,,,,,,,,,,
16,Miami Heat,0-4,0-2,0-2,0-4,,,0-4,,,,,,0-3,0-4,,,2025,0.0,0,0,,,,,,,,,,,,
1,Boston Celtics,16-3,9-2,7-1,12-2,4-1,,8-1,4-1,,,4-1,2-0,10-3,3-1,9-1,4-1,2024,16.0,1,1,,,,,,,,,,,,
2,Dallas Mavericks,13-9,6-4,7-5,1-4,12-5,1-4,,,8-3,4-2,,4-0,6-4,2-2,10-3,1-4,2024,13.0,0,1,,,,,,,,,,,,
3,Minnesota Timberwolves,9-7,3-5,6-2,,9-7,,,,4-3,4-0,1-4,0-2,5-3,4-0,5-7,,2024,9.0,0,0,,,,,,,,,,,,
4,Indiana Pacers,8-9,6-2,2-7,8-9,,4-7,4-2,,,,,1-2,6-4,3-2,5-7,,2024,8.0,0,0,,,,,,,,,,,,
5,Denver Nuggets,7-5,4-3,3-2,,7-5,,,,3-4,4-1,,2-0,3-3,4-1,3-4,,2024,7.0,0,0,,,,,,,,,,,,
6,New York Knicks,7-6,5-2,2-4,7-6,,4-2,3-4,,,,,2-0,1-4,3-2,4-4,,2024,7.0,0,0,,,,,,,,,,,,
7,Oklahoma City Thunder,6-4,3-2,3-2,,6-4,,,,,,6-4,1-1,3-1,4-0,2-4,,2024,6.0,0,0,,,,,,,,,,,,
8,Cleveland Cavaliers,5-7,4-2,1-5,5-7,,1-4,,4-3,,,,1-0,4-5,3-2,2-5,,2024,5.0,0,0,,,,,,,,,,,,
9,Orlando Magic,3-4,3-0,0-4,3-4,,,3-4,,,,,0-1,2-3,2-3,1-1,,2024,3.0,0,0,,,,,,,,,,,,
10,Los Angeles Clippers,2-4,1-2,1-2,,2-4,,,,,,2-4,0-1,1-3,2-2,0-2,,2024,2.0,0,0,,,,,,,,,,,,
11,Milwaukee Bucks,2-4,2-1,0-3,2-4,,,2-4,,,,,0-1,2-3,2-3,0-1,,2024,2.0,0,0,,,,,,,,,,,,
12,Philadelphia 76ers,2-4,1-2,1-2,2-4,,2-4,,,,,,0-2,1-0,2-3,0-1,,2024,2.0,0,0,,,,,,,,,,,,
13,Los Angeles Lakers,1-4,1-1,0-3,,1-4,,,,1-4,,,0-2,1-1,1-4,,,2024,1.0,0,0,,,,,,,,,,,,
14,Miami Heat,1-4,0-2,1-2,1-4,,1-4,,,,,,,1-4,1-3,0-1,,2024,1.0,0,0,,,,,,,,,,,,
15,New Orleans Pelicans,0-4,0-2,0-2,,0-4,,,,0-4,,,0-1,0-2,0-4,,,2024,0.0,0,0,,,,,,,,,,,,
16,Phoenix Suns,0-4,0-2,0-2,,0-4,,,,0-4,,,,0-3,0-4,,,2024,0.0,0,0,,,,,,,,,,,,
1,Denver Nuggets,16-4,10-1,6-3,4-1,12-3,,,4-1,4-1,8-2,,2-1,9-0,5-1,7-2,4-1,2023,16.0,1,1,,,,,,,,,,,,
2,Miami Heat,13-10,6-4,7-6,12-6,1-4,8-5,4-1,,1-4,,,2-1,5-6,5-1,7-5,1-4,2023,13.0,0,1,,,,,,,,,,,,
3,Boston Celtics,11-9,5-6,6-3,11-9,,4-3,,7-6,,,,1-2,7-3,4-2,7-7,,2023,11.0,0,0,,,,,,,,,,,,
4,Los Angeles Lakers,8-8,6-2,2-6,,8-8,,,,0-4,4-2,4-2,1-1,5-5,4-2,4-6,,2023,8.0,0,0,,,,,,,,,,,,
5,Philadelphia 76ers,7-4,3-2,4-2,7-4,,7-4,,,,,,1-0,3-3,4-0,3-4,,2023,7.0,0,0,,,,,,,,,,,,
6,Golden State Warriors,6-7,4-2,2-5,,6-7,,,,,6-7,,1-2,4-3,4-3,2-4,,2023,6.0,0,0,,,,,,,,,,,,
7,New York Knicks,6-5,4-1,2-4,6-5,,,4-1,2-4,,,,,2-2,4-2,2-3,,2023,6.0,0,0,,,,,,,,,,,,
8,Phoenix Suns,6-5,4-2,2-3,,6-5,,,,2-4,4-1,,,2-4,4-2,2-3,,2023,6.0,0,0,,,,,,,,,,,,
9,Sacramento Kings,3-4,2-2,1-2,,3-4,,,,,3-4,,1-1,1-2,3-4,,,2023,3.0,0,0,,,,,,,,,,,,
10,Atlanta Hawks,2-4,1-2,1-2,2-4,,2-4,,,,,,1-0,0-2,2-4,,,2023,2.0,0,0,,,,,,,,,,,,
11,Memphis Grizzlies,2-4,2-1,0-3,,2-4,,,,,2-4,,,2-3,2-4,,,2023,2.0,0,0,,,,,,,,,,,,
12,Cleveland Cavaliers,1-4,1-2,0-2,1-4,,1-4,,,,,,,1-2,1-4,,,2023,1.0,0,0,,,,,,,,,,,,
13,Los Angeles Clippers,1-4,0-2,1-2,,1-4,,,,,1-4,,,0-2,1-4,,,2023,1.0,0,0,,,,,,,,,,,,
14,Milwaukee Bucks,1-4,1-2,0-2,1-4,,,,1-4,,,,0-1,1-2,1-4,,,2023,1.0,0,0,,,,,,,,,,,,
15,Minnesota Timberwolves,1-4,1-1,0-3,,1-4,,,,1-4,,,0-1,0-1,1-4,,,2023,1.0,0,0,,,,,,,,,,,,
16,Brooklyn Nets,0-4,0-2,0-2,0-4,,0-4,,,,,,,0-2,0-4,,,2023,0.0,0,0,,,,,,,,,,,,
17,Chicago Bulls,0-0,,,,,,,,,,,,,,,,2023,0.0,0,0,,,,,,,,,,,,
18,New Orleans Pelicans,0-0,,,,,,,,,,,,,,,,2023,0.0,0,0,,,,,,,,,,,,
19,Oklahoma City Thunder,0-0,,,,,,,,,,,,,,,,2023,0.0,0,0,,,,,,,,,,,,
20,Toronto Raptors,0-0,,,,,,,,,,,,,,,,2023,0.0,0,0,,,,,,,,,,,,
1,Golden State Warriors,16-6,11-1,5-5,4-2,12-4,4-2,,,4-1,,8-3,2-0,10-4,4-1,8-3,4-2,2022,16.0,1,1,,,,,,,,,,,,
2,Boston Celtics,14-10,6-6,8-4,12-6,2-4,4-0,4-3,4-3,,2-4,,1-2,8-6,4-0,8-6,2-4,2022,14.0,0,1,,,,,,,,,,,,
3,Miami Heat,11-7,7-3,4-4,11-7,,7-6,,4-1,,,,1-1,7-4,4-1,7-6,,2022,11.0,0,0,,,,,,,,,,,,
4,Dallas Mavericks,9-9,6-2,3-7,,9-9,,,,4-2,5-7,,1-1,5-4,4-2,5-7,,2022,9.0,0,0,,,,,,,,,,,,
5,Milwaukee Bucks,7-5,3-3,4-2,7-5,,3-4,4-1,,,,,2-0,4-3,4-1,3-4,,2022,7.0,0,0,,,,,,,,,,,,
6,Phoenix Suns,7-6,5-2,2-4,,7-6,,,,,,7-6,1-0,4-5,4-2,3-4,,2022,7.0,0,0,,,,,,,,,,,,
7,Memphis Grizzlies,6-6,4-2,2-4,,6-6,,,,4-2,2-4,,1-3,2-3,4-2,2-4,,2022,6.0,0,0,,,,,,,,,,,,
8,Philadelphia 76ers,6-6,4-2,2-4,6-6,,4-2,,2-4,,,,1-0,4-4,4-2,2-4,,2022,6.0,0,0,,,,,,,,,,,,
9,Minnesota Timberwolves,2-4,1-2,1-2,,2-4,,,,,,2-4,1-1,1-1,2-4,,,2022,2.0,0,0,,,,,,,,,,,,
10,New Orleans Pelicans,2-4,1-2,1-2,,2-4,,,,,2-4,,0-1,2-2,2-4,,,2022,2.0,0,0,,,,,,,,,,,,
11,Toronto Raptors,2-4,1-2,1-2,2-4,,2-4,,,,,,0-1,1-3,2-4,,,2022,2.0,0,0,,,,,,,,,,,,
12,Utah Jazz,2-4,1-2,1-2,,2-4,,,,,,2-4,1-1,0-1,2-4,,,2022,2.0,0,0,,,,,,,,,,,,
13,Atlanta Hawks,1-4,1-1,0-3,1-4,,,,1-4,,,,1-1,0-3,1-4,,,2022,1.0,0,0,,,,,,,,,,,,
14,Chicago Bulls,1-4,0-2,1-2,1-4,,,1-4,,,,,,0-3,1-4,,,2022,1.0,0,0,,,,,,,,,,,,
15,Denver Nuggets,1-4,1-1,0-3,,1-4,,,,,1-4,,,0-2,1-4,,,2022,1.0,0,0,,,,,,,,,,,,
16,Brooklyn Nets,0-4,0-2,0-2,0-4,,0-4,,,,,,0-1,,0-4,,,2022,0.0,0,0,,,,,,,,,,,,
1,Milwaukee Bucks,16-7,10-1,6-6,12-5,4-2,4-3,,8-2,,4-2,,2-1,10-4,,4-0,6-5,2021,16.0,1,1,,,,6-2,,,,,,,,
2,Phoenix Suns,14-8,8-3,6-5,2-4,12-4,,2-4,,4-0,8-4,,1-0,8-4,,2-2,10-2,2021,14.0,0,1,,,,2-4,,,,,,,,
3,Atlanta Hawks,10-8,4-4,6-4,10-8,,8-4,2-4,,,,,4-0,4-6,,3-1,7-5,2021,10.0,0,0,,,,0-2,,,,,,,,
4,Los Angeles Clippers,10-9,5-5,5-4,,10-9,,,,4-2,2-4,4-3,0-2,8-2,,2-2,8-7,2021,10.0,0,0,,,,,,,,,,,,
5,Brooklyn Nets,7-5,6-1,1-4,7-5,,4-1,3-4,,,,,0-1,5-2,,3-1,4-4,2021,7.0,0,0,,,,,,,,,,,,
6,Philadelphia 76ers,7-5,4-3,3-2,7-5,,,,7-5,,,,0-2,5-0,,3-1,4-4,2021,7.0,0,0,,,,,,,,,,,,
7,Utah Jazz,6-5,4-2,2-3,,6-5,,,,,2-4,4-1,1-1,3-3,,3-1,3-4,2021,6.0,0,0,,,,,,,,,,,,
8,Denver Nuggets,4-6,2-3,2-3,,4-6,,,,4-2,0-4,,,2-5,,2-2,2-4,2021,4.0,0,0,,,,,,,,,,,,
9,Dallas Mavericks,3-4,0-3,3-1,,3-4,,,,,3-4,,,1-3,,2-2,1-2,2021,3.0,0,0,,,,,,,,,,,,
10,Los Angeles Lakers,2-4,1-2,1-2,,2-4,,,,,2-4,,,1-2,,2-2,0-2,2021,2.0,0,0,,,,,,,,,,,,
11,Portland Trail Blazers,2-4,1-2,1-2,,2-4,,,,2-4,,,,2-2,,2-2,0-2,2021,2.0,0,0,,,,,,,,,,,,
12,Boston Celtics,1-4,1-1,0-3,1-4,,1-4,,,,,,,0-4,,1-3,0-1,2021,1.0,0,0,,,,,,,,,,,,
13,Memphis Grizzlies,1-4,0-2,1-2,,1-4,,,,1-4,,,1-0,0-3,,1-3,0-1,2021,1.0,0,0,,,,,,,,,,,,
14,New York Knicks,1-4,1-2,0-2,1-4,,,,1-4,,,,0-1,0-3,,1-3,0-1,2021,1.0,0,0,,,,,,,,,,,,
15,Washington Wizards,1-4,1-1,0-3,1-4,,1-4,,,,,,,0-3,,1-3,0-1,2021,1.0,0,0,,,,,,,,,,,,
16,Miami Heat,0-4,0-2,0-2,0-4,,,0-4,,,,,0-1,0-3,,0-4,,2021,0.0,0,0,,,,,,,,,,,,
1,Los Angeles Lakers,16-5,9-3,7-2,4-2,12-3,,,4-2,8-2,,4-1,1-1,10-2,,,,2020,16.0,1,1,4-1,9-2,3-2,,,,,,,,,
2,Miami Heat,14-7,6-4,8-3,12-3,2-4,4-2,8-1,,,2-4,,4-1,6-5,,,,2020,14.0,0,1,5-0,7-4,2-3,,,,,,,,,
3,Boston Celtics,10-7,3-5,7-2,10-7,,8-3,,2-4,,,,1-4,5-1,,,,2020,10.0,0,0,5-0,5-7,,,,,,,,,,
4,Denver Nuggets,9-10,5-4,4-6,,9-10,,,,4-3,5-7,,1-2,5-6,,,,2020,9.0,0,0,3-3,6-7,,,,,,,,,,
5,Los Angeles Clippers,7-6,3-4,4-2,,7-6,,,,3-4,,4-2,0-1,4-3,,,,2020,7.0,0,0,4-2,3-4,,,,,,,,,,
6,Toronto Raptors,7-4,2-4,5-0,7-4,,7-4,,,,,,2-1,3-2,,,,2020,7.0,0,0,4-1,3-3,,,,,,,,,,
7,Houston Rockets,5-7,4-2,1-5,,5-7,,,,4-3,1-4,,1-1,4-4,,,,2020,5.0,0,0,3-3,2-4,,,,,,,,,,
8,Milwaukee Bucks,5-5,2-4,3-1,5-5,,,,5-5,,,,1-1,4-3,,,,2020,5.0,0,0,4-2,1-3,,,,,,,,,,
9,Oklahoma City Thunder,3-4,3-0,0-4,,3-4,,,,,,3-4,1-1,1-3,,,,2020,3.0,0,0,3-3,0-1,,,,,,,,,,
10,Utah Jazz,3-4,2-1,1-3,,3-4,,,,3-4,,,1-1,2-3,,,,2020,3.0,0,0,3-3,0-1,,,,,,,,,,
11,Dallas Mavericks,2-4,1-2,1-2,,2-4,,,,,2-4,,1-0,1-2,,,,2020,2.0,0,0,2-4,,,,,,,,,,,
12,Orlando Magic,1-4,0-2,1-2,1-4,,,1-4,,,,,,1-4,,,,2020,1.0,0,0,1-4,,,,,,,,,,,
13,Portland Trail Blazers,1-4,0-2,1-2,,1-4,,,,,1-4,,,0-2,,,,2020,1.0,0,0,1-4,,,,,,,,,,,
14,Brooklyn Nets,0-4,0-2,0-2,0-4,,0-4,,,,,,,0-3,,,,2020,0.0,0,0,0-4,,,,,,,,,,,
15,Indiana Pacers,0-4,0-2,0-2,0-4,,,,0-4,,,,,0-2,,,,2020,0.0,0,0,0-4,,,,,,,,,,,
16,Philadelphia 76ers,0-4,0-2,0-2,0-4,,0-4,,,,,,,0-1,,,,2020,0.0,0,0,0-4,,,,,,,,,,,
1,Toronto Raptors,16-8,9-4,7-4,12-6,4-2,4-3,4-2,4-1,,4-2,,1-2,8-3,5-2,8-4,3-2,2019,16.0,1,1,,,,,,,,,,,,
2,Golden State Warriors,14-8,6-5,8-3,2-4,12-4,2-4,,,4-0,4-2,4-2,3-0,5-2,6-2,6-3,2-3,2019,14.0,0,1,,,,,,,,,,,,
3,Milwaukee Bucks,10-5,6-2,4-3,10-5,,6-5,4-0,,,,,,8-2,5-1,5-4,,2019,10.0,0,0,,,,,,,,,,,,
4,Portland Trail Blazers,8-8,5-3,3-5,,8-8,,,,8-4,0-4,,2-2,3-4,4-2,4-6,,2019,8.0,0,0,,,,,,,,,,,,
5,Denver Nuggets,7-7,5-3,2-4,,7-7,,,,3-4,,4-3,0-1,3-3,5-3,2-4,,2019,7.0,0,0,,,,,,,,,,,,
6,Philadelphia 76ers,7-5,4-2,3-3,7-5,,7-5,,,,,,0-1,5-2,5-2,2-3,,2019,7.0,0,0,,,,,,,,,,,,
7,Houston Rockets,6-5,5-1,1-4,,6-5,,,,4-1,2-4,,1-0,2-1,4-3,2-2,,2019,6.0,0,0,,,,,,,,,,,,
8,Boston Celtics,5-4,2-2,3-2,5-4,,,5-4,,,,,,2-3,5-1,0-3,,2019,5.0,0,0,,,,,,,,,,,,
9,San Antonio Spurs,3-4,2-1,1-3,,3-4,,,,3-4,,,,2-2,3-4,,,2019,3.0,0,0,,,,,,,,,,,,
10,Los Angeles Clippers,2-4,0-3,2-1,,2-4,,,,,2-4,,,0-3,2-4,,,2019,2.0,0,0,,,,,,,,,,,,
11,Brooklyn Nets,1-4,0-2,1-2,1-4,,1-4,,,,,,,0-3,1-4,,,2019,1.0,0,0,,,,,,,,,,,,
12,Oklahoma City Thunder,1-4,1-1,0-3,,1-4,,,,1-4,,,0-1,1-2,1-4,,,2019,1.0,0,0,,,,,,,,,,,,
13,Orlando Magic,1-4,0-2,1-2,1-4,,1-4,,,,,,1-0,0-3,1-4,,,2019,1.0,0,0,,,,,,,,,,,,
14,Utah Jazz,1-4,1-1,0-3,,1-4,,,,,,1-4,0-1,1-2,1-4,,,2019,1.0,0,0,,,,,,,,,,,,
15,Detroit Pistons,0-4,0-2,0-2,0-4,,,0-4,,,,,,0-4,0-4,,,2019,0.0,0,0,,,,,,,,,,,,
16,Indiana Pacers,0-4,0-2,0-2,0-4,,0-4,,,,,,,0-1,0-4,,,2019,0.0,0,0,,,,,,,,,,,,
1,Golden State Warriors,16-5,10-1,6-4,4-0,12-5,,4-0,,,,12-5,0-1,11-3,5-1,8-4,3-0,2018,16.0,1,1,,,,,,,,,,,,
2,Cleveland Cavaliers,12-10,8-3,4-7,12-6,0-4,8-3,4-3,,,0-4,,4-1,4-8,4-3,8-4,0-3,2018,12.0,0,1,,,,,,,,,,,,
3,Boston Celtics,11-8,10-1,1-7,11-8,,4-1,7-7,,,,,2-1,6-5,5-3,6-5,,2018,11.0,0,0,,,,,,,,,,,,
4,Houston Rockets,11-6,7-3,4-3,,11-6,,,,8-2,3-4,,2-0,8-4,5-1,6-5,,2018,11.0,0,0,,,,,,,,,,,,
5,New Orleans Pelicans,5-4,3-1,2-3,,5-4,,,,4-0,1-4,,1-0,2-2,4-1,1-3,,2018,5.0,0,0,,,,,,,,,,,,
6,Philadelphia 76ers,5-5,3-2,2-3,5-5,,1-4,,4-1,,,,0-2,4-2,4-2,1-3,,2018,5.0,0,0,,,,,,,,,,,,
7,Utah Jazz,5-6,3-2,2-4,,5-6,,,,4-2,,1-4,,2-4,4-3,1-3,,2018,5.0,0,0,,,,,,,,,,,,
8,Toronto Raptors,4-6,3-2,1-4,4-6,,,0-4,4-2,,,,0-2,3-3,4-2,0-4,,2018,4.0,0,0,,,,,,,,,,,,
9,Indiana Pacers,3-4,2-1,1-3,3-4,,,3-4,,,,,1-2,2-0,3-4,,,2018,3.0,0,0,,,,,,,,,,,,
10,Milwaukee Bucks,3-4,3-0,0-4,3-4,,3-4,,,,,,1-0,2-2,3-4,,,2018,3.0,0,0,,,,,,,,,,,,
11,Oklahoma City Thunder,2-4,2-1,0-3,,2-4,,,,2-4,,,,0-2,2-4,,,2018,2.0,0,0,,,,,,,,,,,,
12,Washington Wizards,2-4,2-1,0-3,2-4,,2-4,,,,,,,1-3,2-4,,,2018,2.0,0,0,,,,,,,,,,,,
13,Miami Heat,1-4,0-2,1-2,1-4,,1-4,,,,,,,1-3,1-4,,,2018,1.0,0,0,,,,,,,,,,,,
14,Minnesota Timberwolves,1-4,1-1,0-3,,1-4,,,,,,1-4,0-1,1-3,1-4,,,2018,1.0,0,0,,,,,,,,,,,,
15,San Antonio Spurs,1-4,1-1,0-3,,1-4,,,,,1-4,,,1-3,1-4,,,2018,1.0,0,0,,,,,,,,,,,,
16,Portland Trail Blazers,0-4,0-2,0-2,,0-4,,,,,,0-4,0-1,0-1,0-4,,,2018,0.0,0,0,,,,,,,,,,,,
1,Golden State Warriors,16-1,9-0,7-1,4-1,12-0,,4-1,,8-0,,4-0,1-0,12-1,4-0,8-0,4-1,2017,16.0,1,1,,,,,,,,,,,,
2,Cleveland Cavaliers,13-5,6-2,7-3,12-1,1-4,8-1,4-0,,,1-4,,1-1,8-2,4-0,8-1,1-4,2017,13.0,0,1,,,,,,,,,,,,
3,Boston Celtics,9-9,5-5,4-4,9-9,,,5-6,4-3,,,,1-1,7-7,5-2,4-7,,2017,9.0,0,0,,,,,,,,,,,,
4,San Antonio Spurs,8-8,5-3,3-5,,8-8,,,,,0-4,8-4,1-2,6-6,4-2,4-6,,2017,8.0,0,0,,,,,,,,,,,,
5,Washington Wizards,7-6,6-0,1-6,7-6,,3-4,,4-2,,,,1-0,3-6,4-3,3-3,,2017,7.0,0,0,,,,,,,,,,,,
6,Houston Rockets,6-5,4-2,2-3,,6-5,,,,4-1,,2-4,0-2,3-3,4-1,2-4,,2017,6.0,0,0,,,,,,,,,,,,
7,Toronto Raptors,4-6,2-3,2-3,4-6,,,4-6,,,,,1-0,2-5,4-2,0-4,,2017,4.0,0,0,,,,,,,,,,,,
8,Utah Jazz,4-7,1-4,3-3,,4-7,,,,,4-7,,1-0,1-4,4-3,0-4,,2017,4.0,0,0,,,,,,,,,,,,
9,Los Angeles Clippers,3-4,1-3,2-1,,3-4,,,,3-4,,,0-1,0-1,3-4,,,2017,3.0,0,0,,,,,,,,,,,,
10,Atlanta Hawks,2-4,2-1,0-3,2-4,,,,2-4,,,,,2-1,2-4,,,2017,2.0,0,0,,,,,,,,,,,,
11,Chicago Bulls,2-4,0-3,2-1,2-4,,2-4,,,,,,,1-3,2-4,,,2017,2.0,0,0,,,,,,,,,,,,
12,Memphis Grizzlies,2-4,2-1,0-3,,2-4,,,,,,2-4,1-0,1-3,2-4,,,2017,2.0,0,0,,,,,,,,,,,,
13,Milwaukee Bucks,2-4,1-2,1-2,2-4,,2-4,,,,,,0-1,2-2,2-4,,,2017,2.0,0,0,,,,,,,,,,,,
14,Oklahoma City Thunder,1-4,1-1,0-3,,1-4,,,,,,1-4,1-0,0-1,1-4,,,2017,1.0,0,0,,,,,,,,,,,,
15,Indiana Pacers,0-4,0-2,0-2,0-4,,,0-4,,,,,0-1,,0-4,,,2017,0.0,0,0,,,,,,,,,,,,
16,Portland Trail Blazers,0-4,0-2,0-2,,0-4,,,,,0-4,,,0-3,0-4,,,2017,0.0,0,0,,,,,,,,,,,,
1,Cleveland Cavaliers,16-5,9-1,7-4,12-2,4-3,4-2,4-0,4-0,,4-3,,2-0,12-4,4-0,8-2,4-3,2016,16.0,1,1,,,,,,,,,,,,
2,Golden State Warriors,15-9,11-3,4-6,3-4,12-5,,3-4,,8-4,,4-1,0-1,9-6,4-1,8-4,3-4,2016,15.0,0,1,,,,,,,,,,,,
3,Oklahoma City Thunder,11-7,6-3,5-4,,11-7,,,,,3-4,8-3,1-1,8-2,4-2,7-5,,2016,11.0,0,0,,,,,,,,,,,,
4,Toronto Raptors,10-10,8-3,2-7,10-10,,,6-7,4-3,,,,1-0,4-8,3-3,7-7,,2016,10.0,0,0,,,,,,,,,,,,
5,Miami Heat,7-7,5-2,2-5,7-7,,3-4,,4-3,,,,0-1,4-2,3-3,4-4,,2016,7.0,0,0,,,,,,,,,,,,
6,San Antonio Spurs,6-4,3-2,3-2,,6-4,,,,2-4,,4-0,0-1,4-2,5-0,1-4,,2016,6.0,0,0,,,,,,,,,,,,
7,Portland Trail Blazers,5-6,4-1,1-5,,5-6,,,,,5-6,,1-0,3-4,4-2,1-4,,2016,5.0,0,0,,,,,,,,,,,,
8,Atlanta Hawks,4-6,3-2,1-4,4-6,,4-2,0-4,,,,,1-1,3-3,4-2,0-4,,2016,4.0,0,0,,,,,,,,,,,,
9,Charlotte Hornets,3-4,2-1,1-3,3-4,,,,3-4,,,,1-0,1-3,3-3,0-1,,2016,3.0,0,0,,,,,,,,,,,,
10,Indiana Pacers,3-4,2-1,1-3,3-4,,3-4,,,,,,0-1,3-2,3-3,0-1,,2016,3.0,0,0,,,,,,,,,,,,
11,Boston Celtics,2-4,2-1,0-3,2-4,,,,2-4,,,,0-1,0-3,2-4,,,2016,2.0,0,0,,,,,,,,,,,,
12,Los Angeles Clippers,2-4,2-1,0-3,,2-4,,,,2-4,,,0-1,2-2,2-4,,,2016,2.0,0,0,,,,,,,,,,,,
13,Dallas Mavericks,1-4,0-2,1-2,,1-4,,,,1-4,,,1-0,0-4,1-4,,,2016,1.0,0,0,,,,,,,,,,,,
14,Houston Rockets,1-4,1-1,0-3,,1-4,,,,,1-4,,1-0,0-3,1-4,,,2016,1.0,0,0,,,,,,,,,,,,
15,Detroit Pistons,0-4,0-2,0-2,0-4,,,0-4,,,,,0-1,0-2,0-4,,,2016,0.0,0,0,,,,,,,,,,,,
16,Memphis Grizzlies,0-4,0-2,0-2,,0-4,,,,,,0-4,,0-3,0-4,,,2016,0.0,0,0,,,,,,,,,,,,
1,Golden State Warriors,16-5,9-2,7-3,4-2,12-3,,4-2,,,,12-3,1-1,10-2,4-0,8-3,4-2,2015,16.0,1,1,,,,,,,,,,,,
2,Cleveland Cavaliers,14-6,7-3,7-3,12-2,2-4,4-0,4-2,4-0,,2-4,,3-1,5-2,4-0,8-2,2-4,2015,14.0,0,1,,,,,,,,,,,,
3,Houston Rockets,9-8,7-2,2-6,,9-8,,,,,5-7,4-1,1-1,6-6,4-1,5-7,,2015,9.0,0,0,,,,,,,,,,,,
4,Atlanta Hawks,8-8,5-3,3-5,8-8,,4-2,0-4,4-2,,,,2-2,3-2,3-2,5-6,,2015,8.0,0,0,,,,,,,,,,,,
5,Los Angeles Clippers,7-7,4-3,3-4,,7-7,,,,,,7-7,1-0,4-4,3-3,4-4,,2015,7.0,0,0,,,,,,,,,,,,
6,Chicago Bulls,6-6,3-3,3-3,6-6,,,6-6,,,,,1-2,2-2,4-2,2-4,,2015,6.0,0,0,,,,,,,,,,,,
7,Memphis Grizzlies,6-5,4-2,2-3,,6-5,,,,4-1,2-4,,,3-4,4-1,2-4,,2015,6.0,0,0,,,,,,,,,,,,
8,Washington Wizards,6-4,3-2,3-2,6-4,,4-0,,2-4,,,,1-2,2-1,4-0,2-4,,2015,6.0,0,0,,,,,,,,,,,,
9,San Antonio Spurs,3-4,1-2,2-2,,3-4,,,,,3-4,,0-1,1-1,3-3,0-1,,2015,3.0,0,0,,,,,,,,,,,,
10,Brooklyn Nets,2-4,2-1,0-3,2-4,,,,2-4,,,,,0-2,2-3,0-1,,2015,2.0,0,0,,,,,,,,,,,,
11,Milwaukee Bucks,2-4,1-2,1-2,2-4,,,2-4,,,,,1-0,0-2,2-4,,,2015,2.0,0,0,,,,,,,,,,,,
12,Dallas Mavericks,1-4,1-1,0-3,,1-4,,,,,,1-4,0-1,1-2,1-4,,,2015,1.0,0,0,,,,,,,,,,,,
13,Portland Trail Blazers,1-4,1-1,0-3,,1-4,,,,,,1-4,,0-2,1-4,,,2015,1.0,0,0,,,,,,,,,,,,
14,Boston Celtics,0-4,0-2,0-2,0-4,,,0-4,,,,,,0-1,0-4,,,2015,0.0,0,0,,,,,,,,,,,,
